timestamp,open,high,low,close,adjusted close,volume,dividend amount
2013-09-20,896.2000,905.9900,881.0000,903.1100,22.6477,20926500,0.0000
2013-09-13,883.7300,897.9000,882.4200,889.0680,22.2955,13094100,0.0000
2013-09-06,854.3600,883.7800,853.9500,879.5800,22.0576,13869400,0.0000
2013-08-30,870.0000,874.9000,845.5600,846.9000,21.2381,14898000,0.0000
2013-08-23,857.7100,878.0000,857.4500,870.2100,21.8226,13482600,0.0000
2013-08-16,886.9000,888.5000,856.5400,856.9080,21.4890,16829500,0.0000
2013-08-09,905.3900,909.7090,885.2950,890.4100,22.3292,13999100,0.0000
2013-08-02,884.9000,907.0000,880.8700,906.5700,22.7344,19327000,0.0000
2013-07-26,902.0000,913.0000,882.0000,885.3500,22.2023,23588500,0.0000
2013-07-19,924.3000,928.0000,875.6100,896.5980,22.4844,32853600,0.0000
2013-07-12,899.2100,923.0000,897.0840,923.0000,23.1465,21597500,0.0000
2013-07-05,886.4500,895.4100,877.2700,893.4900,22.4064,12717500,0.0000
2013-06-28,871.8800,884.6900,863.2500,880.3700,22.0774,23331000,0.0000
2013-06-21,879.2300,910.8400,873.0700,880.9300,22.0914,29137400,0.0000
2013-06-14,882.1000,891.0000,865.5000,875.0400,21.9437,21208700,0.0000
2013-06-07,873.0000,880.0000,847.2200,879.7300,22.0614,23385900,0.0000
2013-05-31,883.5000,892.1400,864.2900,871.2180,21.8479,16705000,0.0000
2013-05-24,905.0000,920.6000,871.0100,873.3200,21.9006,22753400,0.0000
2013-05-17,878.8900,919.9799,873.3810,909.1800,22.7999,26004400,0.0000
2013-05-10,848.2600,880.5400,848.2600,880.2300,22.0739,21312200,0.0000
2013-05-03,803.2500,846.8000,803.0000,845.7200,21.2085,21165200,0.0000
2013-04-26,800.6000,818.0000,775.0000,801.4200,20.0975,22946300,0.0000
2013-04-19,785.9500,803.4400,761.2601,799.8700,20.0587,30684600,0.0000
2013-04-12,778.7500,793.1000,768.4000,790.0500,19.8124,21245300,0.0000
2013-04-05,795.0100,814.8300,776.4000,783.0500,19.6369,22914500,0.0000
2013-03-28,812.4100,819.2300,793.3000,794.1880,19.9162,14694900,0.0000
2013-03-22,805.0000,819.2500,801.4700,810.3100,20.3205,16715300,0.0000
2013-03-15,831.6900,839.7000,813.3400,814.3020,20.4206,19970200,0.0000
2013-03-08,805.3000,844.0000,805.0000,831.5200,20.8524,29285000,0.0000
2013-03-01,802.3000,808.4100,784.4000,806.1900,20.2172,21925100,0.0000
2013-02-22,795.9900,808.9700,791.2200,799.7100,20.0547,22489800,0.0000
2013-02-15,778.4000,793.2600,773.7500,792.8900,19.8836,19360600,0.0000
2013-02-08,767.6900,786.6700,758.2700,785.3700,19.6950,25673300,0.0000
2013-02-01,751.7600,776.6000,746.5400,775.6000,19.4500,20953900,0.0000
2013-01-25,704.6600,758.4800,695.5200,753.6700,18.9001,30589400,0.0000
2013-01-18,737.0000,742.2000,701.3300,704.5100,17.6673,28477800,0.0000
